CALLS,,,,,,,,,,,,PUTS,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,1,-,-,-,-,-,750,"3,146.00","3,197.00",750,"23,050.00",225,1.5,2.05,"1,500",-0.45,1.6,35.46,80,2,731
,2,-,-,-,-,-,75,"3,100.70","3,145.55",750,"23,100.00",225,1.65,2,"1,050",-0.2,1.95,35.68,55,-3,898
,148,-,-,-,-,-,750,"3,036.00","3,101.90",750,"23,150.00","1,800",1.55,2.4,"1,725",-0.45,1.6,34.39,99,-,605
,7,-,-,-,-,-,750,"2,990.50","3,039.95",750,"23,200.00",675,1.75,2.1,525,-0.6,1.75,34.18,242,112,847
,-,-,-,-,-,-,750,"2,944.20","2,990.35",750,"23,250.00",300,1.7,2.4,"1,500",-0.25,2,34.14,28,3,56
,63,-,-,-,-,-,75,"2,886.80","2,948.85",750,"23,300.00",150,1.8,1.9,"1,200",-0.75,1.75,33.31,78,28,226
,1,-,-,-,-,-,750,"2,845.30","2,890.90",750,"23,350.00","1,800",1.85,2.35,"2,250",-0.75,1.95,32.96,34,5,172
,1,-,-,-,-,-,750,"2,788.80","2,839.65",750,"23,400.00",75,1.8,2.15,"1,575",-0.45,1.9,32.32,259,-10,359
,7,-,-,-,-,-,750,"2,744.50","2,794.05",750,"23,450.00",750,1.9,2.1,75,-0.4,2.1,32.14,32,1,52
,"2,265",-86,97,-,"2,720.60",21.85,75,"2,713.40","2,721.35",225,"23,500.00","5,550",1.9,2,"8,100",-0.35,1.95,31.42,"9,082",-473,"17,215"
,1,-,-,-,-,-,750,"2,647.55","2,692.20",750,"23,550.00","1,500",1.9,2.3,750,-0.55,2.1,31.04,58,20,66
,31,-,-,-,-,-,750,"2,592.30","2,637.40",750,"23,600.00",825,1.95,2.1,525,-0.6,1.95,30.41,655,216,665
,2,-,-,-,-,-,750,"2,541.75","2,590.15",750,"23,650.00",150,2,2.4,"3,750",-0.35,2.3,30.27,4,-,35
,43,-,-,-,-,-,750,"2,496.05","2,547.00",750,"23,700.00","1,950",2.1,2.15,975,-0.5,2.15,29.49,"1,144",329,"1,284"
,4,-,-,-,-,-,750,"2,448.15","2,493.85",750,"23,750.00","3,750",2,2.35,"3,000",-0.85,2,28.7,146,-79,107
,46,-,-,-,-,-,750,"2,392.45","2,449.25",750,"23,800.00","2,625",2.2,2.25,"2,550",-0.5,2.3,28.55,"1,828",-215,"5,478"
,1,-,-,-,-,-,750,"2,349.90","2,392.35",750,"23,850.00",375,2.3,2.4,"3,000",-0.65,2.15,27.85,113,-16,146
,15,-,-,-,-,-,750,"2,296.30","2,340.20",750,"23,900.00",375,2.15,2.2,675,-0.5,2.2,27.3,"1,001",-5,"1,466"
,1,-,-,-,-,-,750,"2,246.80","2,290.10",750,"23,950.00","2,100",2.15,2.35,"3,000",-0.65,2.25,26.83,170,30,204
,"11,606",-183,774,-,"2,223.00",23.9,75,"2,217.85","2,221.90",75,"24,000.00","11,025",2.15,2.2,"3,000",-0.65,2.2,26.35,"24,528","1,704","55,118"
,3,-,-,-,-,-,750,"2,150.60","2,193.55",750,"24,050.00","3,000",2.15,2.5,"3,750",-0.75,2.25,25.81,169,86,249
,24,-,-,-,-,-,750,"2,104.20","2,148.95",750,"24,100.00","1,800",2.45,2.5,"6,375",-0.5,2.5,25.58,"3,814",518,"1,993"
,2,-,1,27.8,"2,080.00",23.5,750,"2,049.20","2,103.40",750,"24,150.00",75,2.4,2.65,"5,250",-0.65,2.45,24.97,229,-72,218
,72,-,3,-,"2,011.00",13.85,75,"2,003.50","2,021.45",75,"24,200.00",525,2.5,2.55,"1,950",-0.75,2.5,24.53,"4,245",120,"4,187"
,4,-,-,-,-,-,150,"1,966.45","1,990.55",750,"24,250.00",75,2.55,2.75,"5,250",-0.75,2.5,23.92,143,-16,531
,28,-,-,-,-,-,750,"1,902.45","1,945.65",750,"24,300.00","6,975",2.6,2.65,"1,725",-0.85,2.65,23.54,"4,913",22,"3,737"
,9,-,-,-,-,-,150,"1,868.10","1,904.05",750,"24,350.00",750,2.65,2.8,"5,250",-0.9,2.65,22.98,356,-4,488
,40,-,-,-,-,-,750,"1,802.35","1,838.70",750,"24,400.00","3,000",2.65,2.7,"1,800",-0.8,2.7,22.58,"4,525",-324,"2,619"
,6,-,-,-,-,-,225,"1,766.75","1,798.95",750,"24,450.00",300,2.8,2.9,"2,250",-0.65,2.85,22.22,"1,522",219,781
,"2,338",-34,148,-,"1,720.20",17.15,75,"1,720.10","1,721.60",75,"24,500.00","21,900",2.75,2.8,"10,425",-0.85,2.8,21.6,"58,080","4,031","44,181"
,15,-,-,-,-,-,75,"1,652.85","1,672.70",75,"24,550.00","1,350",2.85,2.95,"1,500",-0.9,3,21.04,"1,433",396,773
,108,-2,4,-,"1,615.00",12.4,75,"1,613.90","1,628.05",75,"24,600.00","7,200",2.85,2.9,"7,725",-1.2,2.9,20.52,"12,174",-585,"6,841"
,24,-,-,-,-,-,75,"1,555.30","1,573.15",75,"24,650.00","2,925",3.05,3.1,"1,950",-1.05,3.1,20.04,"3,455",305,"1,392"
,118,-11,15,-,"1,515.80",19.85,75,"1,514.75","1,521.15",75,"24,700.00","8,925",3.05,3.1,"5,700",-1.35,3.05,19.51,"18,068","2,272","9,165"
,20,-,-,-,-,-,750,"1,455.35","1,484.30",75,"24,750.00","4,125",3.15,3.2,"1,500",-1.4,3.2,19.06,"4,168","1,389","2,536"
,347,-14,18,-,"1,425.00",22.9,75,"1,417.25","1,428.65",75,"24,800.00","12,375",3.3,3.35,"8,550",-1.4,3.3,18.53,"28,183","6,877","26,182"
,9,-,-,-,-,-,750,"1,354.80","1,384.40",75,"24,850.00","3,225",3.5,3.55,"2,025",-1.5,3.55,18.13,"2,513",19,"1,841"
,329,-19,98,-,"1,313.75",11.3,75,"1,309.90","1,326.50",75,"24,900.00","12,825",3.55,3.6,"8,700",-1.6,3.55,17.55,"21,029",278,"12,464"
,17,-,-,-,-,-,750,"1,254.75","1,285.50",75,"24,950.00","4,050",3.65,3.75,"3,675",-1.65,3.8,17.07,"5,370",934,"2,831"
,"20,276",-518,"1,076",-,"1,223.80",21.95,75,"1,221.60","1,224.95",75,"25,000.00","50,550",3.95,4,"9,525",-1.95,3.95,16.67,"91,292","2,163","99,144"
,18,-,1,-,"1,162.00",13,75,"1,160.10","1,187.35",75,"25,050.00","5,175",4.15,4.25,"3,900",-1.8,4.25,16.16,"4,867",877,"2,798"
,473,35,66,-,"1,119.30",15.65,75,"1,118.65","1,121.85",75,"25,100.00","12,750",4.25,4.35,"15,900",-2,4.35,15.65,"30,004","1,233","15,419"
,18,2,15,-,"1,074.00",37.3,75,"1,064.55","1,082.10",75,"25,150.00","10,500",4.6,4.65,"2,400",-1.9,4.65,15.23,"16,317","7,936","10,464"
,"1,423",12,94,-,"1,025.00",22.8,75,"1,020.35","1,024.30",75,"25,200.00","16,425",4.65,4.7,"8,025",-2.35,4.65,14.62,"30,661","5,115","27,660"
,74,-2,19,-,961.05,7.15,75,970.75,975.85,75,"25,250.00","2,100",4.95,5.05,"9,000",-2.3,4.95,14.15,"9,862","1,084","5,006"
,"1,334",-54,130,-,923.55,18.75,75,921.55,924.8,75,"25,300.00",600,5.25,5.3,"7,950",-2.5,5.25,13.66,"53,787","8,581","32,964"
,62,3,18,-,876.35,24.35,75,871.7,875.85,75,"25,350.00",225,5.55,5.6,"6,975",-2.95,5.55,13.15,"10,738",455,"5,418"
,"2,519",-94,229,-,823.85,18.7,75,822.35,824.8,75,"25,400.00","6,450",5.85,5.9,"9,450",-3.1,5.85,12.64,"31,453","1,780","24,155"
,52,-3,25,-,773.5,16.85,75,773.15,776.7,75,"25,450.00","4,125",6.35,6.45,"6,525",-3.35,6.45,12.19,"13,729",564,"6,654"
,"9,048",-115,"1,758",-,723.7,16.4,75,724.1,726.55,75,"25,500.00","12,750",7.05,7.1,"10,650",-4,7.05,11.76,"81,148","3,726","68,305"
,167,14,42,10.52,682.55,22.85,75,674.5,677.55,75,"25,550.00","6,375",7.7,7.75,"1,725",-4.3,7.7,11.3,"16,556","1,725","6,847"
,"4,350",-185,671,7.71,627.6,18.4,450,626.1,627.85,75,"25,600.00","4,725",8.85,8.9,"2,325",-4.7,8.85,10.9,"63,334","1,578","33,160"
,447,-54,140,-,576.6,13.4,75,577.25,579.2,75,"25,650.00","6,225",10.05,10.1,"2,475",-5.6,10.05,10.49,"28,099","1,387","13,896"
,"9,778",-78,"2,735",7.51,530.8,16.9,75,530.5,531.6,75,"25,700.00","5,775",11.85,11.95,"1,725",-6.55,11.9,10.15,"71,140","9,285","41,817"
,"1,069",-64,336,7.75,481.1,10.5,75,482.2,484.2,75,"25,750.00","1,575",14.35,14.45,"1,425",-7.85,14.4,9.84,"34,864","4,543","16,926"
,"16,417",-455,"9,252",6.8,436,11.6,525,436,437,225,"25,800.00","3,975",17.65,17.75,"1,575",-9.15,17.7,9.57,"1,01,803","10,466","54,216"
,"3,046",-167,"1,459",7.82,390.65,11.5,75,390.5,391.85,75,"25,850.00",150,22.05,22.1,"1,200",-10.5,22,9.35,"55,436","5,283","17,301"
,"18,796","-2,238","13,629",7.97,347.7,9.9,375,346.6,347.65,75,"25,900.00","2,325",27.85,27.95,825,-11.6,28,9.18,"1,32,610","1,811","57,632"
,"5,164",-318,"5,390",7.7,302.9,6.7,150,302.95,304.15,75,"25,950.00",75,34.85,34.95,"2,250",-14.05,34.85,8.97,"59,820","4,271","20,555"
,"95,001","-4,610","91,375",7.88,263.95,5.35,450,263.05,263.9,150,"26,000.00",375,44.2,44.35,"2,550",-15.85,44.3,8.83,"2,12,687","17,734","1,53,256"
,"6,512",137,"23,590",7.9,225.1,2.9,75,224.85,225.4,300,"26,050.00",900,54.85,55.05,"1,275",-17.95,54.95,8.64,"67,246","6,918","19,245"
,"40,217","3,517","1,46,367",7.77,188.85,1.8,225,188.9,189,600,"26,100.00","1,500",68.65,68.8,75,-19.8,68.85,8.5,"2,21,717","20,581","67,957"
,"23,384","9,613","1,50,655",7.71,156.5,0.05,"1,350",156.1,156.45,75,"26,150.00",825,85.9,86.1,375,-21.4,85.9,8.4,"1,74,383","17,194","31,980"
,"91,604","29,309","3,51,668",7.65,126.7,-1.55,75,126.1,126.4,"1,275","26,200.00","1,050",105.55,105.8,75,-23.95,105.5,8.27,"2,94,663","26,623","76,795"
,"19,169","6,655","1,04,417",7.55,99.5,-4.2,"1,200",99.55,99.8,"1,200","26,250.00",225,129.15,129.45,75,-25.2,129.35,8.23,"58,686","6,453","10,925"
,"64,636","9,262","1,79,861",7.47,76.75,-5.65,450,76.6,76.8,"1,725","26,300.00",450,156.5,156.85,150,-26.6,156.5,8.17,"79,954","6,499","26,892"
,"28,569","18,590","89,657",7.37,57.5,-7,525,57.25,57.4,300,"26,350.00",750,187.2,187.7,450,-26.75,188,8.14,"14,512",36,"3,273"
,"54,506","10,571","1,28,718",7.35,42.55,-6.65,"1,275",42.5,42.6,375,"26,400.00",300,222.25,222.75,375,-27.4,222.95,8.23,"21,405","2,229","13,626"
,"16,489","7,725","64,807",7.34,30.8,-6.65,675,30.7,30.8,825,"26,450.00",150,260.7,261.45,75,-26.65,262,8.31,"2,578",602,"1,372"
,"78,731","10,813","1,82,843",7.37,22.1,-6.3,"1,650",22.05,22.15,"1,950","26,500.00",300,301.4,302.3,150,-26.9,302.5,8.44,"14,981",-225,"23,757"
,"14,792","6,826","82,527",7.39,15.6,-5.6,"2,625",15.5,15.6,825,"26,550.00",75,344.95,345.95,75,-26.7,345.1,8.84,545,88,491
,"41,735","18,111","1,65,134",7.48,11.1,-4.95,"3,075",11.05,11.15,"3,525","26,600.00",75,389.65,390.85,300,-24.7,391.45,8.45,"1,417",119,"2,752"
,"10,045","3,435","24,574",7.67,8.35,-4.1,"5,625",8.25,8.35,"5,025","26,650.00",75,438.05,438.75,75,-24.95,439,10.16,169,-4,311
,"37,940","12,243","66,930",7.89,6.25,-3.25,"4,275",6.2,6.25,"4,500","26,700.00",150,485.05,486.45,75,-25.6,485,9.2,506,-48,"1,342"
,"11,080","3,718","21,977",8.17,4.9,-2.55,"8,100",4.9,4.95,"5,250","26,750.00",75,531.8,534.5,75,-33.3,531.45,9.63,136,87,152
,"46,420","4,511","69,026",8.53,4.15,-1.7,"6,675",4.1,4.15,"5,325","26,800.00",75,582.1,584,225,-18.4,585.95,11.22,420,106,"2,249"
,"8,515",-696,"20,817",8.92,3.6,-1.4,"12,225",3.6,3.65,"13,725","26,850.00",75,631.25,634.4,225,-25.9,632.3,11.24,4,-2,43
,"27,020","11,265","50,432",9.32,3.25,-1.2,"3,900",3.25,3.3,"8,850","26,900.00",75,682.15,684.75,75,-22.35,682.6,12.01,30,3,585
,"14,044","9,935","28,123",9.82,3.1,-0.9,"25,350",3.05,3.1,"8,325","26,950.00",750,717,744.95,75,-,-,15.35,-,-,32
,"1,32,495","11,976","1,03,398",10.27,2.85,-1.05,"26,700",2.85,2.9,"29,550","27,000.00",75,781.95,784.4,75,-21.7,781.8,13.66,"1,522",-283,"14,352"
,"4,166","1,239","11,769",10.62,2.5,-0.9,"16,125",2.5,2.55,"17,100","27,050.00",75,828,833.95,75,12.6,867.6,19.8,1,-,11
,"16,948","2,678","22,819",10.96,2.25,-0.85,"11,175",2.25,2.3,"12,975","27,100.00",75,879.05,882,225,-20.65,881.5,14.5,12,-,277
,"1,494",450,"3,454",11.34,2.1,-0.7,"2,625",2.05,2.1,"3,150","27,150.00",75,927.05,932.1,75,-17.2,927.8,14.1,8,-4,67
,"23,076","7,901","33,771",11.65,1.8,-0.85,"20,250",1.8,1.85,"95,400","27,200.00",75,977.15,983.85,"1,050",-28.3,974.5,13.47,20,-14,"1,382"
,"1,364",394,"2,627",12.07,1.6,-0.85,"1,950",1.6,1.65,"3,975","27,250.00",75,"1,017.25","1,044.40",75,-,-,19.24,-,-,3
,"17,840","2,061","28,081",12.26,1.4,-0.85,"54,975",1.35,1.4,"1,30,575","27,300.00",75,"1,078.40","1,080.40",75,-21.4,"1,073.00",13.9,12,-5,444
,"1,564","1,037","1,833",12.86,1.45,-0.55,300,1.45,1.5,"2,400","27,350.00",750,"1,115.75","1,144.50",75,-,-,19.99,-,-,5
,"13,159",539,"15,110",13.12,1.25,-0.4,"25,725",1.25,1.3,"63,675","27,400.00",75,"1,175.55","1,182.35",150,-14.6,"1,184.00",19.14,4,-,27
,"1,253",453,"1,336",13.66,1.25,-0.45,"67,050",1.25,1.35,"7,350","27,450.00",75,"1,219.75","1,245.25",75,-,-,21.32,-,-,4
,"43,122","3,058","43,419",14.01,1.2,-0.25,"4,50,150",1.15,1.2,"99,900","27,500.00",75,"1,277.05","1,280.50",75,-19.7,"1,280.75",20.18,496,-393,"6,667"
,689,70,910,14.19,1.05,-0.4,"1,050",1.05,1.2,750,"27,550.00",75,"1,327.45","1,345.90",750,-,-,22.56,-,-,3
,"22,205","6,409","44,869",14.49,0.9,-0.25,"2,39,700",0.9,0.95,"3,74,775","27,600.00",75,"1,374.60","1,381.05",225,-14,"1,381.00",20.85,4,-3,123
,"1,146",445,"1,283",14.76,0.85,-0.4,"22,350",0.85,0.95,"29,025","27,650.00",75,"1,414.65","1,444.20",75,-,-,29.59,-,-,5
,"7,219","2,287","10,691",15.21,0.85,-0.25,"68,625",0.85,0.9,"40,950","27,700.00",75,"1,470.40","1,486.85",75,-20.95,"1,474.60",19.53,28,-1,97
,348,144,608,15.75,0.9,-0.35,"1,950",0.85,0.9,675,"27,750.00",150,"1,515.65","1,544.90",750,-,-,-,-,-,9
,"6,531","1,538","6,297",15.99,0.85,-0.2,"1,76,100",0.8,0.85,"39,450","27,800.00",750,"1,564.70","1,593.40",75,-,-,24.66,-,-,44
,320,56,238,16.74,0.95,-0.1,"3,600",0.8,0.95,"1,500","27,850.00",750,"1,609.85","1,646.90",750,-,-,27.57,-,-,7
,"2,877",-193,"1,207",16.87,0.8,-0.25,"62,775",0.8,0.85,"8,325","27,900.00",750,"1,660.05","1,696.15",750,-,-,27.52,-,-,8
,191,2,89,17.52,0.9,-0.25,"2,550",0.9,0.95,"1,200","27,950.00",750,"1,708.35","1,746.20",750,-,-,28.32,-,-,3
,"36,553","-1,058","7,237",17.74,0.8,-0.15,"28,650",0.8,0.85,"38,400","28,000.00",750,"1,778.00","1,781.75",75,-25.95,"1,778.05",26.77,537,-116,"12,522"
,"12,599",357,"1,715",25.16,0.6,-0.1,"93,825",0.55,0.6,"61,350","29,000.00",75,"2,777.05","2,782.60",150,-22.4,"2,777.20",40.16,241,-107,"7,328"
,"6,656",-2,452,33.22,0.65,-,"40,275",0.55,0.65,"18,375","30,000.00",75,"3,769.75","3,782.50",75,-19.35,"3,783.75",50.06,92,-45,"2,211"
,"5,187",-999,"1,841",39.9,0.55,-0.05,"44,550",0.55,0.6,"3,750","31,000.00",75,"4,739.35","4,790.55",75,-,"4,820.00",72.69,4,-2,35
