CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,58,-2,4,30.08,"3,138.15",169.80,75,"2,945.50","3,220.95",750,"22,900.00",450,2.60,3.20,225,0.45,3.20,30.50,115,6,"1,692",
,25,-,-,-,"2,919.95",-,"1,725","2,844.95","3,170.75","1,725","22,950.00",450,2.35,3.30,825,-0.20,2.40,29.05,36,2,984,
,"8,862",-228,312,-,"3,028.25",143.35,75,"3,028.35","3,043.75",150,"23,000.00","4,800",2.95,3.05,150,0.20,3.05,29.41,"22,893","5,834","39,717",
,1,-,3,-,"2,963.80",142.85,750,"2,771.30","3,114.10","1,725","23,050.00",150,2.55,3.65,"1,500",0.60,3.50,29.44,89,16,867,
,2,-,2,27.49,"2,938.15",162.65,750,"2,745.45","3,068.85","1,725","23,100.00",750,2.65,3.30,"1,200",0.05,2.95,28.39,310,-89,984,
,148,-,2,-,"2,863.00",123.10,"1,800","2,615.75","2,961.15",750,"23,150.00",150,2.40,3.85,"1,500",-0.25,2.40,27.27,68,-11,639,
,7,1,2,-,"2,817.45",-355.20,75,"2,624.95","2,881.25",75,"23,200.00","1,500",2.20,3.00,"7,050",-0.15,3.00,27.53,348,-246,751,
,-,-,-,-,-,-,"1,725","2,552.80","2,835.95",750,"23,250.00",75,2.60,3.50,"1,800",-,3.30,27.39,273,-127,58,
,63,-,2,-,"2,721.00",147.90,750,"2,528.45","2,796.25",750,"23,300.00",225,2.80,3.40,300,-0.40,2.75,26.35,62,-4,207,
,1,-,-,-,"2,787.00",-4.90,"1,725","2,465.40","2,791.70","1,725","23,350.00","2,400",2.20,3.90,"1,200",0.60,3.85,26.99,417,-7,90,
,1,1,2,-,"2,621.55",-299.95,75,"2,429.05","2,713.50",75,"23,400.00","1,500",2.60,3.75,"1,950",0.15,3.40,26.11,345,-37,195,
,7,-1,4,-,"2,582.05",-85.75,"1,800","2,372.50","2,655.10",750,"23,450.00",300,2.70,3.50,"1,650",0.25,3.50,25.75,112,-,39,
,"2,363",-4,63,-,"2,522.05",135.05,75,"2,526.95","2,547.90",75,"23,500.00",225,2.85,3.05,"1,800",-0.15,3.00,24.81,"6,075","1,028","15,515",
,1,-,2,-,"2,472.00",120.70,"1,800","2,277.15","2,599.55","1,725","23,550.00","2,400",2.35,3.85,300,-0.10,3.30,24.64,123,-1,42,
,32,-,3,-,"2,417.20",143.85,"1,800","2,226.80","2,499.45","1,725","23,600.00",75,3.50,3.85,600,0.35,3.70,24.54,231,28,374,
,2,-,2,-,"2,371.70",121.30,750,"2,181.95","2,491.50",75,"23,650.00","5,175",3.40,3.55,900,-0.15,3.40,23.82,107,-,37,
,43,-,2,-,"2,334.70",168.30,75,"2,319.35","2,359.80",75,"23,700.00","1,800",2.90,3.95,600,-0.25,3.25,23.22,403,-13,949,
,4,1,3,21.25,"2,289.70",168.25,75,"2,086.05","2,389.70",75,"23,750.00",375,3.00,4.30,75,-0.15,3.00,22.54,90,22,188,
,46,1,3,-,"2,219.25",155.60,750,"2,223.80","2,289.35","1,725","23,800.00",450,3.25,3.80,450,-0.25,3.50,22.52,505,-22,"5,244",
,1,1,4,-,"2,173.60",143.90,75,"1,992.20","2,247.85",75,"23,850.00","7,125",3.00,4.50,"1,500",-0.60,3.00,21.63,108,29,212,
,15,1,2,-,"2,121.10",140.85,75,"2,118.60","2,157.50",75,"23,900.00",300,3.25,4.10,300,-0.20,3.50,21.60,"2,306",6,"1,479",
,1,1,2,-,"2,074.70",144.35,75,"1,896.20","2,142.10",75,"23,950.00",300,3.10,4.80,"1,500",-0.65,3.60,21.22,71,-14,140,
,"12,277",-147,504,16.24,"2,039.00",155.25,75,"2,035.15","2,045.05",150,"24,000.00",825,3.80,4.00,825,-,4.00,21.05,"18,411",461,"43,879",
,4,2,3,-,"1,973.65",148.85,75,"1,980.65","2,076.45","1,725","24,050.00","5,250",3.75,5.30,"1,500",-0.15,3.90,20.51,71,-19,135,
,24,1,3,-,"1,919.05",129.05,75,"1,921.90","1,981.75",75,"24,100.00","1,425",3.25,4.80,300,-0.65,3.70,19.91,"3,490",-98,"1,057",
,2,-,2,-,"1,867.30",122.75,750,"1,707.90","1,931.00",75,"24,150.00","1,500",3.30,6.85,"1,500",0.20,4.45,19.94,210,-95,204,
,72,-,2,-,"1,825.05",139.05,75,"1,826.45","1,857.55",75,"24,200.00",450,3.75,4.60,150,0.15,4.65,19.59,"3,177",-156,"4,600",
,5,-,3,-,"1,777.80",151.70,225,"1,781.05","1,866.95","1,800","24,250.00",150,3.70,7.10,750,0.25,5.15,19.39,170,15,612,
,23,1,3,-,"1,720.00",151.25,75,"1,726.85","1,812.95","1,800","24,300.00",75,3.80,4.95,600,0.05,4.95,18.80,"3,346",-522,"3,029",
,7,1,3,-,"1,670.95",144.00,225,"1,681.80","1,766.60",750,"24,350.00","1,500",3.80,6.60,"1,500",-0.30,5.05,18.38,556,-69,475,
,40,-,2,-,"1,622.50",141.30,75,"1,626.95","1,658.00",75,"24,400.00",300,4.60,5.95,"1,500",-0.80,4.60,17.65,"7,293",-626,"2,842",
,6,1,3,-,"1,576.40",148.05,225,"1,582.35","1,665.45","1,725","24,450.00",750,4.10,5.40,225,-0.60,5.40,17.59,756,-55,570,
,"2,561",-1,120,15.64,"1,543.00",151.70,150,"1,539.30","1,549.35",150,"24,500.00",300,4.95,5.95,600,-1.15,4.90,16.85,"23,284",368,"22,713",
,10,1,3,-,"1,474.90",166.00,225,"1,482.55","1,564.75",75,"24,550.00",750,4.60,5.95,75,-0.35,5.95,16.86,884,-202,532,
,96,-,2,-,"1,424.45",138.30,75,"1,379.50","1,512.60","1,800","24,600.00",300,4.95,5.85,150,-0.80,5.85,16.32,"11,344",120,"6,432",
,6,2,3,-,"1,377.20",148.05,225,"1,383.60","1,466.90","1,800","24,650.00",750,5.05,7.60,750,-1.10,6.15,15.96,"1,180",62,"1,006",
,115,32,44,-,"1,320.00",146.45,75,"1,326.95","1,416.90",750,"24,700.00",225,5.95,6.75,75,-0.70,6.75,15.69,"12,670",659,"6,244",
,17,-2,2,-,"1,279.40",140.10,75,"1,279.75","1,370.05",750,"24,750.00","2,100",5.90,6.70,525,-1.15,6.75,15.19,"3,126",-30,"1,726",
,350,12,45,-,"1,233.85",144.10,150,"1,236.50","1,313.85",75,"24,800.00",75,6.25,6.85,525,-1.30,7.30,14.88,"34,521",-922,"17,693",
,10,1,3,-,"1,178.35",149.10,75,"1,177.25","1,263.30",750,"24,850.00",750,6.95,7.25,750,-1.80,7.25,14.35,"4,177",575,"1,486",
,345,2,45,-,"1,133.50",145.50,75,"1,127.15","1,159.95",75,"24,900.00",750,7.05,7.45,75,-2.20,7.45,13.90,"24,464","3,516","11,243",
,18,2,2,-,"1,074.10",97.85,825,"1,079.65","1,168.80","1,800","24,950.00",525,7.20,8.25,"1,500",-2.05,8.05,13.57,"3,785",-217,"1,636",
,"21,493",-307,"2,169",11.51,"1,045.40",151.15,75,"1,046.05","1,047.05",75,"25,000.00",600,8.10,8.40,75,-3.50,8.00,13.03,"68,948","5,562","76,234",
,18,-2,4,-,979.50,159.60,75,973.75,"1,008.70",75,"25,050.00",225,8.15,9.05,225,-4.15,8.15,12.54,"8,320",-56,"2,043",
,274,6,96,-,938.00,146.85,75,938.80,953.75,75,"25,100.00",150,8.80,9.10,225,-4.60,8.85,12.20,"27,593","1,668","10,631",
,16,1,3,-,884.80,150.45,75,875.25,912.00,75,"25,150.00",750,8.75,9.95,"1,500",-5.45,9.50,11.82,"9,176",741,"2,631",
,"1,034",-55,209,9.01,844.75,148.55,75,840.50,851.10,75,"25,200.00",75,10.00,10.70,225,-6.55,10.15,11.43,"55,199","-2,479","20,296",
,72,-8,71,9.01,795.95,147.60,150,790.10,808.60,750,"25,250.00",225,10.70,11.20,150,-8.50,10.75,11.00,"13,616",965,"4,132",
,"1,155",-40,239,-,742.50,137.75,150,740.25,757.10,150,"25,300.00","5,925",11.70,12.20,150,-10.35,11.75,10.64,"53,106",249,"20,390",
,60,3,23,6.97,694.05,140.15,150,690.60,737.80,75,"25,350.00",750,12.55,13.10,300,-13.20,12.60,10.22,"24,851","5,347","9,538",
,"2,462",307,"1,613",8.67,650.50,136.00,450,648.75,653.60,75,"25,400.00",900,14.15,14.85,300,-16.20,14.40,9.93,"68,095","4,990","26,639",
,74,-40,99,6.43,595.00,126.50,150,597.65,610.10,150,"25,450.00",300,16.40,17.20,525,-20.00,16.80,9.69,"22,365","1,083","5,925",
,"9,955","-1,878","12,390",8.37,555.25,129.30,300,553.95,563.20,150,"25,500.00",75,19.05,19.60,75,-24.05,19.55,9.44,"1,30,835","5,879","59,634",
,153,-53,199,7.88,506.15,122.70,75,499.85,521.05,75,"25,550.00",225,22.50,23.65,75,-28.55,22.70,9.17,"25,311","1,541","6,231",
,"5,537",798,"7,200",8.36,465.00,121.10,75,465.00,470.00,225,"25,600.00",75,27.10,27.80,"1,425",-34.60,27.15,8.97,"97,813","-6,905","24,223",
,483,-52,847,8.19,420.00,112.35,150,416.15,424.00,75,"25,650.00",150,32.90,33.30,75,-40.40,32.70,8.79,"35,115","4,356","8,895",
,"10,650",707,"16,726",8.11,377.25,106.70,225,375.60,381.95,75,"25,700.00","1,125",40.00,40.40,150,-47.75,40.00,8.67,"1,12,192","10,718","37,202",
,"1,607","-1,198","5,406",7.94,334.80,98.30,75,335.00,341.15,75,"25,750.00",225,48.50,49.10,75,-55.50,49.00,8.56,"38,439","2,974","9,621",
,"17,447","-5,974","53,098",7.74,293.45,87.15,75,293.90,300.00,150,"25,800.00",450,58.50,59.40,150,-64.35,58.50,8.38,"1,42,054","-1,072","38,722",
,"4,202","-2,064","18,926",8.01,261.00,83.85,75,257.35,261.00,"1,725","25,850.00",75,70.35,71.80,150,-72.75,70.50,8.25,"46,173",764,"9,627",
,"27,629","-7,595","1,24,479",8.04,227.70,76.45,75,225.40,226.90,75,"25,900.00",150,85.15,86.75,75,-81.35,85.00,8.14,"1,99,391","10,608","43,424",
,"8,584","1,358","54,045",7.87,193.50,66.35,75,192.35,193.65,75,"25,950.00",150,103.45,103.90,75,-90.05,103.20,8.11,"73,758","6,411","11,315",
,"1,13,461","-2,490","2,97,425",7.88,165.00,58.45,150,163.75,164.30,75,"26,000.00",75,123.50,124.75,75,-98.60,123.05,8.03,"2,69,609","13,998","1,12,685",
,"8,521",-513,"52,918",7.66,135.20,47.85,75,136.50,137.00,75,"26,050.00","1,125",145.00,147.50,150,-106.20,147.50,8.06,"25,313","2,407","5,461",
,"41,504","-5,750","1,70,353",7.71,113.00,41.80,300,113.00,113.05,75,"26,100.00",75,171.80,173.00,"1,425",-117.10,170.00,7.82,"61,656",-716,"20,216",
,"8,524",523,"46,142",7.68,92.20,34.45,75,90.95,92.05,300,"26,150.00",450,200.00,203.30,75,-123.10,203.20,8.03,"7,192",243,"2,947",
,"46,766","-5,596","1,37,784",7.61,73.50,27.05,150,72.10,73.30,75,"26,200.00",75,230.00,232.75,75,-132.50,230.00,7.71,"33,204",-220,"24,675",
,"9,603",554,"40,238",7.57,58.00,20.80,75,56.75,57.90,75,"26,250.00",75,263.55,269.20,75,-137.20,266.20,7.80,"2,234",-53,"2,061",
,"55,278","3,860","1,19,456",7.45,44.00,14.15,450,44.00,45.00,75,"26,300.00",75,301.20,304.00,450,-143.45,301.35,7.66,"13,602","-1,207","14,459",
,"8,304","2,660","43,079",7.46,34.05,9.95,75,33.85,34.60,75,"26,350.00",150,340.00,346.10,75,-144.10,348.70,8.29,435,2,"1,126",
,"37,794","6,416","1,06,054",7.50,26.25,6.90,75,25.80,26.40,150,"26,400.00",150,382.10,386.45,75,-141.80,386.30,8.04,"5,864",-78,"9,937",
,"7,427","2,376","21,485",7.50,19.65,3.60,75,19.50,20.30,75,"26,450.00",75,406.75,435.60,150,-146.00,438.75,8.99,199,-43,563,
,"65,642","2,416","1,16,708",7.66,15.75,2.45,900,15.50,15.90,"1,800","26,500.00",225,475.00,477.55,150,-152.85,475.00,8.31,"7,008",-680,"23,605",
,"5,217","2,040","22,289",7.76,12.25,1.40,75,11.70,12.25,225,"26,550.00",150,513.95,525.95,150,-158.55,522.80,8.70,51,-11,310,
,"18,698","4,220","42,854",7.81,9.15,0.15,375,8.80,9.25,"3,750","26,600.00",300,565.05,569.95,300,-152.35,570.20,8.98,"1,835",461,"3,104",
,"4,150","1,522","13,281",8.02,7.55,-0.15,750,7.05,7.55,"1,500","26,650.00",75,603.85,626.10,150,-164.25,621.50,9.78,28,-8,351,
,"17,303",221,"50,348",8.22,6.20,-0.55,"3,000",6.20,6.35,150,"26,700.00",75,650.85,675.20,75,-149.20,670.00,10.17,233,-1,"1,395",
,"5,170","1,146","10,812",8.47,5.30,-0.75,225,5.05,5.40,225,"26,750.00",75,699.55,724.25,300,-163.95,717.00,10.29,10,-3,67,
,"21,268","4,079","32,200",8.77,4.70,-0.50,150,4.50,4.70,675,"26,800.00",75,755.45,771.30,75,-151.70,770.90,11.50,70,-8,"2,154",
,"2,407",109,"5,190",9.10,4.30,-0.45,750,4.05,4.30,150,"26,850.00","1,575",721.20,822.50,75,-75.65,828.60,13.19,2,-,43,
,"10,309","3,169","19,565",9.44,3.95,-0.35,75,3.70,3.90,300,"26,900.00",75,855.55,871.85,150,-166.20,865.00,11.62,59,3,668,
,"1,967",436,"6,210",9.77,3.65,-0.30,225,3.45,3.65,"2,775","26,950.00",75,821.15,931.00,750,-149.70,918.00,12.75,15,7,28,
,"89,277","14,459","65,483",10.10,3.40,-0.25,75,3.40,3.50,375,"27,000.00",150,960.00,965.40,150,-156.35,963.45,12.40,"2,075",-663,"15,430",
,"1,679",660,"2,731",10.47,3.25,-0.10,75,2.85,3.20,750,"27,050.00",750,954.85,"1,027.50",75,-151.20,"1,024.10",14.92,2,-,12,
,"10,652",849,"11,815",10.69,2.85,-0.20,"1,875",2.85,3.10,750,"27,100.00",750,985.15,"1,070.35",75,-156.45,"1,072.00",15.15,23,4,279,
,431,-2,537,10.94,2.55,-0.45,600,2.60,3.25,"1,050","27,150.00",750,"1,044.55","1,126.95",75,-142.55,"1,115.00",14.36,16,4,21,
,"11,525",-270,"6,794",11.23,2.35,-0.40,450,2.35,2.95,"1,500","27,200.00",75,"1,151.75","1,166.20",75,-157.95,"1,165.00",14.90,22,1,"1,354",
,759,-30,"1,574",11.71,2.45,-0.10,150,2.10,3.40,750,"27,250.00",750,"1,139.25","1,284.05",750,-146.85,"1,217.05",15.88,2,1,3,
,"8,186",406,"7,467",11.83,2.05,-0.30,375,2.05,2.15,300,"27,300.00",75,"1,214.30","1,269.20",75,-142.20,"1,262.45",15.35,16,4,447,
,398,132,557,12.31,2.15,-0.15,300,1.65,2.60,150,"27,350.00",375,"1,235.80","1,330.90",75,-137.05,"1,309.60",15.06,2,1,6,
,"9,440","3,212","12,155",12.19,1.55,-0.50,975,1.55,1.60,525,"27,400.00","1,575","1,272.80","1,387.20",750,-121.90,"1,384.05",20.51,2,-,26,
,737,400,942,12.81,1.80,-0.25,600,1.40,1.95,825,"27,450.00",750,"1,332.10","1,422.30",75,-145.45,"1,427.85",20.09,2,-,4,
,"33,469","2,296","23,220",13.01,1.60,-0.35,75,1.55,1.60,"2,850","27,500.00",150,"1,451.15","1,463.65",75,-150.65,"1,461.75",17.23,246,-50,"7,731",
,531,109,776,12.94,1.20,-0.65,225,1.25,2.35,"2,250","27,550.00",750,"1,435.90","1,649.05",750,-153.95,"1,510.35",17.33,2,1,4,
,"4,973",862,"6,787",13.66,1.50,-0.10,"1,800",1.25,1.85,"3,600","27,600.00",750,"1,457.35","1,700.35",750,-160.55,"1,571.80",20.63,2,-,136,
,597,136,818,13.86,1.35,-0.30,"1,800",1.15,2.00,"18,375","27,650.00",750,"1,535.30","1,754.35",750,-133.85,"1,623.80",21.56,4,-,6,
,"4,455",638,"3,599",13.97,1.15,-0.30,"22,950",1.15,1.20,750,"27,700.00",75,"1,550.85","1,660.00",375,-136.95,"1,667.40",20.74,6,-4,101,
,175,5,229,14.66,1.40,-0.15,"9,000",0.95,1.85,"1,500","27,750.00",750,"1,626.10","1,843.70",750,-140.50,"1,728.25",23.48,6,-4,9,
,"4,715",-64,"3,235",14.62,1.10,-0.30,"26,475",1.05,1.10,"3,825","27,800.00",750,"1,671.10","1,908.85",750,-145.10,"1,777.40",23.87,11,-6,44,
,259,-111,307,14.91,1.05,-0.30,"1,875",1.05,1.45,75,"27,850.00",750,"1,723.30","1,956.40","1,800",-131.95,"1,825.20",23.98,2,-1,7,
,"2,303",-4,"1,632",15.34,1.10,-0.20,"5,400",1.05,1.25,"5,400","27,900.00",750,"1,774.15","2,011.25",750,-134.05,"1,873.10",24.09,2,-,8,
,168,-,18,15.84,1.20,-0.25,300,1.05,1.20,225,"27,950.00",750,"1,819.20","2,063.35","1,800",-136.95,"1,926.60",25.33,2,1,4,
,"37,300",-296,"6,649",16.19,1.20,-0.35,"8,625",1.10,1.20,300,"28,000.00",975,"1,960.10","1,962.05",150,-144.70,"1,960.10",21.75,329,-198,"12,985",
,"13,085",-271,"3,629",21.97,0.75,-0.20,"4,725",0.75,0.80,"21,900","29,000.00",150,"2,943.35","2,961.70",75,-143.40,"2,965.00",33.06,88,-33,"7,613",
,"6,953",-165,"1,790",28.13,0.75,-0.05,"3,975",0.70,0.75,"6,450","30,000.00",150,"3,942.90","3,961.40",75,-155.15,"3,961.00",41.08,85,-55,"2,394",
,"6,305",-205,"3,150",33.76,0.70,-0.05,"13,500",0.65,0.70,"52,425","31,000.00",750,"4,742.95","5,135.45",750,-,"4,890.00",-,-,-,73,
